id,organization,document_type,category,clientele,knowledge_type,language,filepath
1,Regroupement des activistes pour l'inclusion au Québec (RAPLIQ),Mémoire,Regroupements et réseaux,Personnes en situation de handicap,Communautaire,fr,data\data\8.1-Regroupement des activistes pour l'inclusion au Québec (RAPLIQ)\8.1_rapliq.pdf
3,Carrefour de ressources en interculturel (CRIC Centre-Sud),Mémoire,Organismes communautaires et à but non-lucratif,Personnes issues de l'immigration,Communautaire,fr,data\data\8.3-Carrefour de ressources en interculturel\8.3_carrefour_de_ressources_en_interculturel.pdf
5,DéPhy Montréal,Mémoire,Organismes communautaires et à but non-lucratif,Personnes en situation de handicap,Communautaire,fr,data\data\8.5-DéPhy Montréal\8.5_dephy_montreal.pdf
7,Communication - Ouverture - Rapprochement interculturel (COR),Mémoire,Organismes communautaires et à but non-lucratif,Personnes issues de l'immigration,Communautaire,fr,"data\data\8.7-COR Organisme de communication, ouverture et rapprochement interculturel\8.7_cor.pdf"
11,Ligue des droits et libertés,Mémoire,Organismes communautaires et à but non-lucratif,Général,Communautaire,fr,data\data\8.11-Ligue des droits et libertés\8.11_liguedroitliberte.pdf
14,L'équipe de recherche et d'action Erasme (et collaborateurs),Mémoire,Chercheurs et experts,Personnes issues de l'immigration,Communautaire,fr,data\data\8.14-L'équipe de recherche et d'action Erasme et collaborateurs\8.14_erasme.pdf
17,Parole d'excluES,Mémoire,Organismes communautaires et à but non-lucratif,Personnes racisées,Communautaire,fr,data\data\8.17-Parole d'excluES\8.17_parole_dexclues.pdf
23,Concordia Student Union (CSU),Mémoire,Regroupements et réseaux,Étudiants,Communautaire,en,data\data\8.23-Concordia Student Union\8.23_concordia_student_union_brief.pdf
30,Centre social d'aide aux immigrants (CSAI),Mémoire,Organismes communautaires et à but non-lucratif,Personnes issues de l'immigration,Communautaire,fr,data\data\8.30-Centre social d'aide aux immigrants (CSAI)\8.30_rap_csai.pdf
32,Les Productions Feux Sacrés,Mémoire,Organismes communautaires et à but non-lucratif,Communautés autochtones,Communautaire,fr,data\data\8.32-Production Feux Sacrés\8.32.2_nadine_stlouis_pfs_rapport_annuel_2018-2019_fr_web.pdf
46,Inclusion Jeunesse,Mémoire,Organismes communautaires et à but non-lucratif,Jeunes,Communautaire,fr,data\data\8.46-Inclusion Jeunesse\8.46_inclusion_jeunesse.pdf
55,Relais-femmes,Article scientifique,Chercheurs et experts,Femmes,Communautaire,fr,data\data\8.56-Relais-femmes\8.56_relais-femmes.pdf
56,Centraide,Mémoire,Organismes communautaires et à but non-lucratif,Personnes en situation de précarité économique,Communautaire,fr,data\data\8.57-Centraide\8.57_centraide.pdf
57,Justice Femme,Mémoire,Organismes communautaires et à but non-lucratif,Femmes,Communautaire,fr,data\data\8.58-Justice Femme\8.58_justice_femme.pdf
70,Équipe RDP,Transcription,Organismes communautaires et à but non-lucratif,Jeunes,Communautaire,fr,data\data\8.68-Équipe RDP\8.68.1_transcription.pdf
72,Hoodstock,Transcription,Organismes communautaires et à but non-lucratif,Personnes racisées,Communautaire,fr,data\data\8.70-Hoodstock\8.70.1_transcription.pdf
73,Centre d'encadrement des jeunes femmes immigrantes (CEJFI),Transcription,Organismes communautaires et à but non-lucratif,Femmes,Communautaire,fr,data\data\8.71-Centre d'encadrement des jeunes femmes immigrantes (CEJFI)\8.71.1_transcription.pdf
74,Maison des jeunes de Bordeaux-Cartierville,Transcription,Organismes communautaires et à but non-lucratif,Jeunes,Communautaire,fr,data\data\8.72-Maison des jeunes de Bordeaux-Cartierville\8.72.1_transcription.pdf
75,Service à la famille chinoise,Transcription,Organismes communautaires et à but non-lucratif,Personnes racisées,Communautaire,fr,data\data\8.73-Service à la famille chinoise\8.73.1_transcription.pdf
83,Enfam Québec,Transcription,Organismes communautaires et à but non-lucratif,Personnes en situation de précarité économique,Communautaire,fr,data\data\8.81-Enfam Québec\8.81.1_transcription.pdf
86,Maison des jeunes de Rivière-des-Prairies,Transcription,Organismes communautaires et à but non-lucratif,Jeunes,Communautaire,fr,data\data\8.84-Maison des jeunes RDP\8.84.1_transcription.pdf
96,Corporation culturelle latino-américaine de l'amitié (COCLA),Transcription,Organismes communautaires et à but non-lucratif,Personnes racisées,Communautaire,fr,data\data\8.94-Corporation Culturelle Latino-Américaine de l'amitié COCLA\8.94.1_transcription.pdf
107,Afrique au féminin,Transcription,Organismes communautaires et à but non-lucratif,Femmes,Communautaire,fr,data\data\8.105-Afrique au Féminin\8.105.1_transcription_afrique_au_feminin.pdf
